,x2,x3,x6,x7,x8,x10,x11,x12,x13,x14,x16,x17,x1_type2,x1_type3,x1_type4,target
2620,2348,200,5.0,2.0,36.0,0.5833826692074515,39.0,1.0949814655170624,39.0,2.0632133500786023,91.6,1044.0,False,False,False,0
2621,8023,200,14.0,131.0,1395.0,11.0,2.0,5.0,1901.0,5.930169611909106,155.3,123.0,False,True,False,1
2622,7321,531,3.4140862361225235,1.0,11.0,2.7977520412759977,2.0,-3.100342379423209,7.0,2.397518953525679,71.9,1104.0,False,False,True,0
2623,3438,200,1.8670903561163659,4.773997066829541,66.0,0.8585121118545977,2.0,0.6441196311231692,353.0,2.771782280044656,137.4,40.0,False,True,False,0
2624,8021,200,1.0,-7.167044889152187,191.0,4.0,-1.388366731405874,1.5917745027671302,3306.0,5.315250200483172,152.9,24.0,False,True,False,0
2625,3459,550,10.0,80.0,4033.0,57.0,26.0,4.0,12957.0,19.646668235485016,56.7,1055.0,False,True,False,0
2626,3580,200,3.8957342716518983,2.0,11.0,2.523219100639122,5.0,-2.994091475516153,11.0,2.4115903409644255,77.3,1063.0,False,False,True,1
2627,1352,377,2.0,9.0,111.0,2.0,-4.180069347791665,0.8149868768880584,91.0,3.2133661763446346,135.4,83.0,False,True,False,0
2628,6103,200,0.5911115105978872,10.0,2.0,1.7134531026045092,13.366927128912941,-0.23991542748815764,6.0,1.4460305478191067,45.7,743.0,True,False,False,0
2629,1417,200,4.0,15.0,235.0,7.0,13.0,1.8585808612486014,137.0,1.8884252511496364,71.3,1341.0,False,True,False,0
2630,1416,200,3.0,6.090888200624324,83.0,1.0,15.611193852681374,1.2567486663872014,87.0,5.0,137.2,461.0,False,True,False,0
2631,1366,566,2.0,2.0,115.0,2.0,-5.9813891077710934,0.6781760061532918,68.0,3.4839508659750287,140.6,22.0,False,True,False,0
2632,1000,200,6.0,61.0,3.0,-0.5590464481069137,-2.306322160010051,0.3718247018585439,8.0,1.0437855082868164,63.0,340.0,True,False,False,0
2633,1752,200,5.0,2.0,906.0,7.0,17.0,2.1966417984405116,94.0,5.250694152999763,129.9,34.0,False,True,False,0
2634,5027,200,1.0,4.0,9.0,1.0,52.0,0.9951842479064139,18.0,2.166413902629449,124.7,1041.0,False,False,False,0
2635,3095,200,-3.0395133519341524,336.0,16.0,4.020255063702719,96.0,1.5084097228411042,10.0,-6.760727082440345,76.0,1378.0,False,False,True,0
2636,1528,200,1.0,2.0,12.0,0.9690873306996961,80.61653534800038,0.9953927376839201,-6.100737066823669,0.4918675495547573,95.8,1146.0,False,False,False,0
2637,5153,200,1.3681463123967514,4.802101634304137,46.0,0.8674342259103396,2.0,0.5651069140251308,309.0,2.634272170574715,131.1,70.0,False,True,False,0
2638,1354,376,4.52246828029055,2.0,13.0,-0.12142892769483016,156.0,0.667748484053029,11.0,-2.4382129625511153,109.2,980.0,False,False,False,0
2639,1413,467,-5.328927790209669,10.0,44.0,8.094318152678774,52.652274830211034,1.3509232130868216,34.0,1.1278408273131983,110.2,1377.0,False,True,False,0
2640,6282,375,7.0,2.0,558.0,4.0,-0.7912373444263707,2.0,770.0,3.0,155.0,6.0,False,True,False,0
2641,1655,855,3.0,7.0,366.0,4.0,-7.156119081893479,1.2383797200888078,149.0,4.3309540875310315,139.2,13.0,False,True,False,0
2642,2369,200,1.0,118.0,60.0,1.0,1.0,1.3787333473324437,26.0,1.0,52.4,442.0,True,False,False,0
