,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x1_type2,x1_type3,x1_type4,target
8501,2246,375,1.1196127585327496,0.08335121266474488,8.0,32.0,429.0,0.00085267232591546,5.0,1.0,3.0,3575.0,2.0,0.005022496479105243,144.6,32.0,False,True,False,0
8502,1224,424,1.0534591991076265,0.19142034849144096,1.0,51.0,145.0,0.0012103904163824897,2.0,2.5579325830185553,0.11296533461469949,139.0,-0.02532398392685309,-0.0034277495265797597,58.0,967.0,False,True,False,0
8503,2368,200,1.1400587653115262,0.058937188564133436,1.0,92.0,172.0,0.0010076840586568103,2.0,18.0,1.0,2294.0,0.024220219349160743,0.005197123460607855,146.4,52.0,False,True,False,0
8504,1713,200,1.106548850430416,0.08407181780692596,2.0,14.0,574.0,0.0016624607538233693,5.0,6.0,2.0,200.0,0.06907847611586249,0.006221671652292926,187.7,32.0,False,True,False,0
8505,1345,545,0.9791086265482021,0.15767608949817102,0.05973587611401854,10.0,5.0,0.00036711308327119774,0.01006177982296208,1.5616374877281487,1.0,35.0,0.028314671466262098,-0.001794422198793555,44.6,694.0,True,False,False,0
8506,4164,200,0.8157245321707874,0.0806176396446574,1.0,2.0,8.0,0.0027330087880470533,-0.033491752938232366,2.0,-0.152490748816291,14.0,1.0,2.0,65.8,283.0,True,False,False,0
8507,2918,200,1.1566060525593929,0.2086181331271213,2.0,6.0,27.0,-0.0008997079658263907,0.007529395103262004,1.0,0.17249351708468907,15.0,-0.0824657288434878,0.01087761432443024,93.3,1187.0,False,False,False,0
8508,1358,550,1.065932551604074,0.11306971423494971,3.0,2.0,595.0,0.0009826093859734986,5.0,2.0,2.0,572.0,2.0,0.005309813061300517,135.7,26.0,False,True,False,0
8509,1401,200,1.1208726421614053,0.07889467637122038,0.009086839437031813,1.0,10.0,0.003682455220230363,0.00812226839923369,203.0,-0.044348131275370406,14.0,0.1812740465529714,-0.004998545135098453,92.0,1090.0,False,False,False,0
8510,4507,550,1.1271187037686738,0.06621235774330358,3.0,6.0,151.0,0.001146708346103198,7.0,4.0,1.0,348.0,1.0,-0.0026150734386138907,146.6,57.0,False,True,False,0
8511,78418,200,1.9291744693267843,0.04273366093305242,3.0,11.0,28.0,0.002310812959336328,-0.002784647480837066,1.2252998770400154,-0.06649410515080945,24.0,-0.030905058090354487,-0.015370767459222279,59.1,372.0,True,False,False,0
8512,2283,200,1.0902931497485886,0.06260137212158057,-0.0698609481407857,6.0,9.0,0.005964592878958674,0.018988054150838707,274.0,0.05054369558362737,3.0,0.25784063824545456,-0.018965626838284066,112.6,1552.0,False,False,False,0
8513,2378,1564,0.9239827514067954,0.18721630138274037,2.0,13.0,39.0,-0.0007795001668557955,2.0,7.0,1.0,10.0,-0.17353636568014963,0.004608354525318603,100.2,1205.0,False,False,False,0
8514,4023,550,1.090087878310634,0.06678639157980726,0.05816639560021031,3.2471977232671634,39.0,0.0007780422710779167,0.004132481652391107,-1.0121835471345548,0.05448914801232263,162.0,0.056752452485284266,0.005567485108722181,134.6,14.0,False,True,False,0
8515,2605,200,1.1376853675313645,0.08202632579457969,3.0,19.0,196.0,0.0009482142771495283,3.0,-1.2928992419219867,1.0,234.0,0.037491330085970276,0.00815482643063703,134.4,32.0,False,True,False,0
8516,1000,200,1.0367036308202522,0.13671721308379503,0.047755206960346186,2.0,7.0,0.0005605616965520532,0.0009545951975269418,11.0,0.022501597381477723,16.0,0.0310883788541787,-0.0009905851463223314,70.6,582.0,True,False,False,1
8517,1355,200,1.1235877532299818,0.07784752827298647,2.0,31.0,76.0,0.0008368399838847296,2.0,1.0,1.0,94.0,0.08571691345343879,0.008179884267674353,126.5,40.0,False,True,False,0
8518,2392,375,1.108865821241585,0.07374584359330427,3.0,2.0,109.0,0.0008006239651829894,1.0,5.0,0.049374359372819754,1338.0,0.12324751423045655,0.006313036175896514,128.3,40.0,False,True,False,0
8519,1989,1189,0.9352362521749761,0.05754125747292704,3.0,219.0,48.0,0.0037444718356063333,1.0,221.0,1.0,24.0,-0.008073663333959757,-0.017250031568160296,134.3,1351.0,False,False,False,0
8520,2811,200,1.0949047477820764,0.1953758662792282,-0.03443785058402682,28.0,61.0,0.0016305413431125793,1.0,1.0,0.21659932931606818,42.0,-0.06896816106154802,-0.00532615506238443,64.6,1131.0,False,True,False,0
8521,7349,200,1.1209770908876426,0.15319307982491281,1.0,156.0,65.0,-0.0002818310580599004,1.0,2.0,0.14660520659484177,18.0,0.01958753839272731,-0.001822861207646298,45.3,624.0,True,False,False,0
8522,2526,704,0.9848588233960596,0.12540575539962262,0.2723540757617684,93.08603811112152,25.0,-0.002641508844301921,0.009212683900557295,47.0,-0.08199637752161948,14.0,-0.2532908882653828,0.006553693117702153,77.7,924.0,False,False,True,0
8523,1324,524,1.0455723319327561,0.07029637346184003,1.0,8.056063002080919,10.0,0.003909809558667154,0.00775784623286313,208.0,0.04230165708582945,6.0,0.21091067107465733,-0.010887064415371128,126.6,1257.0,False,False,False,0
8524,1724,554,1.064954829254815,0.07072764541273102,0.07040873680170989,4.03635473702343,41.0,0.0006922844431929143,0.00534627648974606,2.0,0.013821337061671102,215.0,0.06011326948197393,0.006145197164705962,128.6,11.0,False,True,False,0
8525,4501,200,1.0856948385288994,0.19068038983309066,-0.07099143122718488,6.0,37.0,0.002269419500015024,0.0457976749790987,11.864072378186393,-0.017457430782258143,334.0,-0.022752719073764638,-0.012297280758742701,108.8,1368.0,False,True,False,0
8526,7083,200,1.1836737156251331,0.06890702857254993,3.0,61.0,136.0,0.0011279363634819628,3.0,-1.035692298018148,2.0,69.0,0.02960736278157583,0.00681401110912816,138.2,49.0,False,True,False,0
8527,3207,200,1.066039873148602,0.15309940242713793,0.045655465395384454,5.0,4.0,0.0002773532834852155,0.004715415960077962,1.3169002996974086,-0.023112391037585667,6.0,-0.004008078725348696,-0.00035834245782062624,50.6,623.0,True,False,False,0
8528,2489,200,1.065244655225339,0.14806900229161357,0.06094388131282358,8.0,10.0,8.950010477937198e-05,0.002880954579069339,-0.1685169590973601,-0.005231896493910426,20.0,-0.0049857798379093765,0.0017328580006985561,45.3,515.0,True,False,False,0
8529,1700,552,1.0632142649590517,0.07795615305584747,0.05243127354879107,17.0,40.0,0.0007196017380979303,0.006633010760850766,-1.2713546983659398,0.07382664671084171,88.0,0.042155047736741835,0.005901531846266295,124.6,59.0,False,True,False,1
8530,3455,200,1.1743951739100627,0.1902080622548148,2.0,6.0,38.0,-0.0011620575165895985,0.0013979825614285346,9.24638921292535,-0.19063287557688113,9.0,-0.03548063760382547,0.012932873935602274,95.9,963.0,False,False,False,0
8531,3067,200,1.1494549508405003,0.22376138222973907,0.0020572658759192564,15.0,33.0,-0.0006992886860623937,0.012351325349925446,13.511785478151978,-0.21463580714143404,12.0,-0.04976338502763156,0.006800374195879755,95.1,1371.0,False,False,False,0
8532,9860,200,1.1958801403077939,0.1302009715785104,4.0,10.0,443.0,0.0018028402883178973,4.0,8.0,1.0,188.0,-0.05705203934104475,0.0010595643169040159,116.9,433.0,False,True,False,0
8533,4320,375,1.1180260979659609,0.06534257125999687,5.0,1.0,326.0,0.0015784823405446957,5.0,1.7452900344433147,3.0,769.0,1.0,-0.0011635554348572441,178.0,48.0,False,True,False,0
8534,1547,375,1.085374749835953,0.06737386809166068,0.07625003928524166,29.0,46.0,0.0011128147380996545,1.0,-1.2216510966090937,2.0,58.0,0.023730171974307268,0.007519967070026112,136.1,35.0,False,True,False,0
8535,1674,552,1.1581557336796888,0.23803181459844325,5.0,8.0,750.0,0.001977896887228159,25.0,12.0,0.1702516012954618,2874.0,0.6087131782855408,-0.0044266538064547944,46.6,1242.0,False,True,False,0
8536,2403,200,1.0601692760792065,0.1553412183114915,-0.05367240083660363,142.0,4.0,-0.0004499963413859831,0.0053852247538088704,1.4752748471019004,0.09443613562191899,5.0,0.001326442333606792,-0.0010070414758072133,48.3,636.0,True,False,False,0
8537,3135,200,1.0664871656686374,0.1568720616085031,0.04925745199443554,4.0,3.0,0.00024792129084549863,0.005933142673484326,0.9313382676346009,-0.01745394182768223,7.0,-0.012817364346972226,-9.107778712902359e-05,43.8,631.0,True,False,False,0
8538,2506,200,1.1644086670792277,0.19418767734794073,1.0,4.0,42.0,-0.001139871556889549,0.002771600487079695,2.0,0.11313605408241756,13.0,-0.06696623745580155,0.013953998340525686,90.9,980.0,False,False,False,0
8539,2043,543,1.0656606954583339,0.06935909788213124,0.0610086352774033,4.0,69.0,0.000889142076554883,0.004629511726164992,2.0,0.031929749813230046,75.0,0.06539360835864727,0.005568214185482034,138.5,18.0,False,True,False,0
8540,2871,200,1.1362139396878224,0.0720115781999553,0.0571715620797022,5.0,32.0,0.0009096390241372099,0.0036831555337073496,2.0,0.01407367185109365,23.0,0.05355122825505987,0.007285913124253085,130.8,14.0,False,True,False,0
8541,1684,200,1.1228037894674028,0.10635020792736682,4.0,15.0,592.0,0.0009655398520764802,5.0,1.5435892309342307,0.10450685160785156,236.0,0.2260005398226781,0.007031671394225114,159.8,23.0,False,True,False,0
8542,1289,200,1.0711041530215448,0.15053090264033742,1.0,3.0,24.0,-0.00044734455304351606,0.020961018402289255,0.11132477019964426,0.028084767703973057,36.0,5.0,0.0037818538774505583,62.2,435.0,True,False,False,0
8543,3698,200,1.089865024087806,0.18722142335779068,-0.0123849389510724,26.225428578411083,244.0,0.0015990375596595108,2.0,11.0,0.33729494810722827,594.0,0.032756208824196165,-0.009404434339954193,110.2,1209.0,False,True,False,0
