unknown1,unknown2,unknown3,unknown4,unknown5,unknown6,unknown7,unknown8,unknown9,unknown10,unknown11,unknown12,unknown13,unknown14,unknown15,unknown16,unknown17,target
type1,2364,200,0,0,1,4,23,0,0,0,0,1,0,0,81.3,1191,0
type2,2484,200,0,0,0,93,1,0,0,0,0,3,0,0,46.5,674,0
type1,4159,480,0,0,2,1,10,0,0,1,0,5,0,0,96.3,1122,0
type3,3251,200,0,0,2,1,399,0,15,0,0,195,0,0,137.7,49,0
type1,2376,1600,0,0,0,1,13,0,0,198,0,8,0,0,94,1140,0
type3,1685,200,0,0,8,67,215,0,7,0,2,1415,0,0,134.9,55,0
type3,2194,340,0,0,13,150,744,0,7,3,11,2241,3,1,143.6,110,0
type2,1456,200,0,0,2,5,10,0,0,1,0,5,0,0,49,520,0
type1,1360,375,0,1,2,2,22,0,0,15,0,8,0,0,97.3,1142,0
type2,4834,540,0,0,0,11,3,0,0,0,0,52,0,0,64.3,402,0
type2,2423,571,0,0,2,25,73,0,1,2,0,36,0,0,74.6,365,0
type3,2221,200,0,0,10,48,712,0,8,2,3,244,0,0,137.8,65,0
type2,1667,200,0,0,2,57,8,0,0,0,0,13,0,0,59.7,439,0
type1,4546,200,0,0,15,3,35,0,1,6,0,36,0,0,124.7,761,0
type1,1732,200,0,0,1,4,17,0,0,239,0,16,0,0,112.1,1314,0
type3,2393,550,1,0,39,24,5522,0,45,110,5,1044,0,0,150.8,46,1
type2,4304,200,0,0,1,4,17,0,0,0,0,11,0,0,61.3,551,0
type1,1395,200,0,0,0,2,13,0,0,14,0,9,0,0,126.4,1126,0
type3,2201,200,0,0,2,13,333,0,3,38,1,61,0,0,147.6,41,0
type3,1730,200,0,0,3,129,1095,0,44,10,2,4100,0,0,69.6,1364,0
type3,5572,200,0,0,77,3,818,0.5,33,1,6,1061,24,2,146.7,11,0
type3,1758,958,0,0,0,0,27,0,1,0,0,58,0,0,203.3,19,0
type3,2936,200,0,0,3,9,173,0,3,9,0,153,0,0,70.3,1373,0
type1,1368,568,0,0,4,61,76,0,4,3,0,3,0,0,98.5,1186,0
type1,1380,200,0,0,2,78,62,0,1,173,0,13,0,0,106.4,1431,0
type3,2440,200,0,0,8,2,952,0,10,3,2,795,4,0,133.5,66,1
type3,1000,200,0,0,3,72,725,0,41,13,3,721,0,0,70.6,1355,0
type1,1333,200,0,0,0,0,16,0,0,232,0,6,0,0,111.2,1232,0
type3,1712,375,0,0,3,1,193,0,3,0,0,232,0,0,139.6,12,0
type2,6950,550,0,0,0,25,2,0,0,0,0,7,0,0,44.3,705,0
type2,2069,200,0,0,0,170,2,0,0,0,0,5,0,0,44.1,584,0
type3,1145,200,0,0,0,0,36,0,0,0,0,33,0,0,129.7,57,0
type2,1732,200,0,0,0,4,3,0,0,0,0,2,0,0,44.5,669,0
type3,6262,506,0,0,1,4,45,0,0,1,0,75,0,0,112.3,1062,0
type1,3509,209,0,0,12,6,64,0,2,2,1,27,1,0,82.8,1136,0
type3,1443,200,0,0,4,1,223,0,4,0,0,1046,0,0,181.1,27,0
type3,1379,200,0,0,0,31,147,0,0,2,0,301,0,0,231.7,79,0
